Exp1,Under,Over,Un10.5_%,Ov10.5_%,Exp
14.37,6.56,1.18,0.15,0.85,14.37
14.26,6.26,1.19,0.16,0.84,14.26
14.14,6,1.2,0.17,0.83,14.14
14.04,5.76,1.21,0.17,0.83,14.04
13.94,5.55,1.22,0.18,0.82,13.94
13.84,5.35,1.23,0.19,0.81,13.84
13.75,5.17,1.24,0.19,0.81,13.75
13.66,5,1.25,0.2,0.8,13.66
13.57,4.85,1.26,0.21,0.79,13.57
13.49,4.7,1.27,0.21,0.79,13.49
13.41,4.57,1.28,0.22,0.78,13.41
13.33,4.45,1.29,0.22,0.78,13.33
13.26,4.33,1.3,0.23,0.77,13.26
13.18,4.23,1.31,0.24,0.76,13.18
13.11,4.13,1.32,0.24,0.76,13.11
13.05,4.03,1.33,0.25,0.75,13.05
12.98,3.94,1.34,0.25,0.75,12.98
12.92,3.86,1.35,0.26,0.74,12.92
12.86,3.78,1.36,0.26,0.74,12.86
12.8,3.7,1.37,0.27,0.73,12.8
12.74,3.63,1.38,0.28,0.72,12.74
12.68,3.56,1.39,0.28,0.72,12.68
12.63,3.5,1.4,0.29,0.71,12.63
12.57,3.44,1.41,0.29,0.71,12.57
12.52,3.38,1.42,0.3,0.7,12.52
12.47,3.33,1.43,0.3,0.7,12.47
12.42,3.27,1.44,0.31,0.69,12.42
12.37,3.22,1.45,0.31,0.69,12.37
12.32,3.17,1.46,0.32,0.68,12.32
12.27,3.13,1.47,0.32,0.68,12.27
12.23,3.08,1.48,0.32,0.68,12.23
12.18,3.04,1.49,0.33,0.67,12.18
12.14,3,1.5,0.33,0.67,12.14
12.1,2.96,1.51,0.34,0.66,12.1
12.05,2.92,1.52,0.34,0.66,12.05
12.01,2.89,1.53,0.35,0.65,12.01
11.97,2.85,1.54,0.35,0.65,11.97
11.93,2.82,1.55,0.35,0.65,11.93
11.89,2.79,1.56,0.36,0.64,11.89
11.86,2.75,1.57,0.36,0.64,11.86
11.82,2.72,1.58,0.37,0.63,11.82
11.78,2.69,1.59,0.37,0.63,11.78
11.78,2.69,1.59,0.37,0.63,11.78
11.75,2.67,1.6,0.38,0.63,11.75
11.71,2.64,1.61,0.38,0.62,11.71
11.68,2.61,1.62,0.38,0.62,11.68
11.64,2.59,1.63,0.39,0.61,11.64
11.61,2.56,1.64,0.39,0.61,11.61
11.57,2.54,1.65,0.39,0.61,11.57
11.54,2.52,1.66,0.4,0.6,11.54
11.51,2.49,1.67,0.4,0.6,11.51
11.48,2.47,1.68,0.4,0.6,11.48
11.45,2.45,1.69,0.41,0.59,11.45
11.42,2.43,1.7,0.41,0.59,11.42
11.39,2.41,1.71,0.42,0.58,11.39
11.36,2.39,1.72,0.42,0.58,11.36
11.33,2.37,1.73,0.42,0.58,11.33
11.3,2.35,1.74,0.43,0.57,11.3
11.27,2.33,1.75,0.43,0.57,11.27
11.24,2.32,1.76,0.43,0.57,11.24
11.22,2.3,1.77,0.44,0.56,11.22
11.19,2.28,1.78,0.44,0.56,11.19
11.16,2.27,1.79,0.44,0.56,11.16
11.14,2.25,1.8,0.44,0.56,11.14
11.11,2.23,1.81,0.45,0.55,11.11
11.08,2.22,1.82,0.45,0.55,11.08
11.06,2.2,1.83,0.45,0.55,11.06
11.03,2.19,1.84,0.46,0.54,11.03
11.01,2.18,1.85,0.46,0.54,11.01
10.98,2.16,1.86,0.46,0.54,10.98
10.96,2.15,1.87,0.47,0.53,10.96
10.94,2.14,1.88,0.47,0.53,10.94
10.91,2.12,1.89,0.47,0.53,10.91
10.89,2.11,1.9,0.47,0.53,10.89
10.87,2.1,1.91,0.48,0.52,10.87
10.84,2.09,1.92,0.48,0.52,10.84
10.82,2.08,1.93,0.48,0.52,10.82
10.8,2.06,1.94,0.48,0.52,10.8
10.78,2.05,1.95,0.49,0.51,10.78
10.76,2.04,1.96,0.49,0.51,10.76
10.74,2.03,1.97,0.49,0.51,10.74
10.71,2.02,1.98,0.49,0.51,10.71
10.69,2.01,1.99,0.5,0.5,10.69
10.67,2,2,0.5,0.5,10.67
10.65,1.99,2.01,0.5,0.5,10.65
10.63,1.98,2.02,0.5,0.5,10.63
10.61,1.97,2.03,0.51,0.49,10.61
10.59,1.96,2.04,0.51,0.49,10.59
10.57,1.95,2.05,0.51,0.49,10.57
10.56,1.94,2.06,0.51,0.49,10.56
10.54,1.93,2.07,0.52,0.48,10.54
10.52,1.93,2.08,0.52,0.48,10.52
10.5,1.92,2.09,0.52,0.48,10.5
10.48,1.91,2.1,0.52,0.48,10.48
10.46,1.9,2.11,0.53,0.47,10.46
10.44,1.89,2.12,0.53,0.47,10.44
10.43,1.88,2.13,0.53,0.47,10.43
10.41,1.88,2.14,0.53,0.47,10.41
10.39,1.87,2.15,0.53,0.47,10.39
10.37,1.86,2.16,0.54,0.46,10.37
10.36,1.85,2.17,0.54,0.46,10.36
10.34,1.85,2.18,0.54,0.46,10.34
10.32,1.84,2.19,0.54,0.46,10.32
10.31,1.83,2.2,0.55,0.45,10.31
10.29,1.83,2.21,0.55,0.45,10.29
10.27,1.82,2.22,0.55,0.45,10.27
10.26,1.81,2.23,0.55,0.45,10.26
10.24,1.81,2.24,0.55,0.45,10.24
10.22,1.8,2.25,0.56,0.44,10.22
10.21,1.79,2.26,0.56,0.44,10.21
10.19,1.79,2.27,0.56,0.44,10.19
10.18,1.78,2.28,0.56,0.44,10.18
10.16,1.78,2.29,0.56,0.44,10.16
10.15,1.77,2.3,0.57,0.43,10.15
10.13,1.76,2.31,0.57,0.43,10.13
10.12,1.76,2.32,0.57,0.43,10.12
10.1,1.75,2.33,0.57,0.43,10.1
10.09,1.75,2.34,0.57,0.43,10.09
10.07,1.74,2.35,0.57,0.43,10.07
10.06,1.74,2.36,0.58,0.42,10.06
10.03,1.72,2.38,0.58,0.42,10.03
10.02,1.72,2.39,0.58,0.42,10.02
10,1.71,2.4,0.58,0.42,10
9.98,1.7,2.42,0.59,0.41,9.98
9.95,1.69,2.44,0.59,0.41,9.95
9.92,1.68,2.46,0.59,0.41,9.92
9.9,1.68,2.48,0.6,0.4,9.9
9.87,1.67,2.5,0.6,0.4,9.87
9.84,1.66,2.52,0.6,0.4,9.84
9.82,1.65,2.54,0.61,0.39,9.82
9.79,1.64,2.56,0.61,0.39,9.79
9.77,1.63,2.58,0.61,0.39,9.77
9.75,1.63,2.6,0.62,0.38,9.75
9.72,1.62,2.62,0.62,0.38,9.72
9.7,1.61,2.64,0.62,0.38,9.7
9.68,1.6,2.66,0.62,0.38,9.68
9.65,1.6,2.68,0.63,0.37,9.65
9.63,1.59,2.7,0.63,0.37,9.63
9.61,1.58,2.72,0.63,0.37,9.61
9.59,1.57,2.74,0.64,0.36,9.59
9.57,1.57,2.76,0.64,0.36,9.57
9.55,1.56,2.78,0.64,0.36,9.55
9.52,1.56,2.8,0.64,0.36,9.52
9.5,1.55,2.82,0.65,0.35,9.5
9.48,1.54,2.84,0.65,0.35,9.48
9.46,1.54,2.86,0.65,0.35,9.46
9.44,1.53,2.88,0.65,0.35,9.44
9.43,1.53,2.9,0.66,0.34,9.43
9.41,1.52,2.92,0.66,0.34,9.41
9.39,1.52,2.94,0.66,0.34,9.39
9.37,1.51,2.96,0.66,0.34,9.37
9.35,1.51,2.98,0.66,0.34,9.35
9.33,1.5,3,0.67,0.33,9.33
9.29,1.49,3.05,0.67,0.33,9.29
9.24,1.48,3.1,0.68,0.32,9.24
9.2,1.47,3.15,0.68,0.32,9.2
9.16,1.45,3.2,0.69,0.31,9.16
9.12,1.44,3.25,0.69,0.31,9.12
9.08,1.43,3.3,0.7,0.3,9.08
9.04,1.43,3.35,0.7,0.3,9.04
9.01,1.42,3.4,0.71,0.29,9.01
8.97,1.41,3.45,0.71,0.29,8.97
8.93,1.4,3.5,0.71,0.29,8.93
8.9,1.39,3.55,0.72,0.28,8.9
8.87,1.38,3.6,0.72,0.28,8.87
8.83,1.38,3.65,0.73,0.27,8.83
8.8,1.37,3.7,0.73,0.27,8.8
8.77,1.36,3.75,0.73,0.27,8.77
8.74,1.36,3.8,0.74,0.26,8.74
8.71,1.35,3.85,0.74,0.26,8.71
8.68,1.34,3.9,0.74,0.26,8.68
8.65,1.34,3.95,0.75,0.25,8.65
8.62,1.33,4,0.75,0.25,8.62
8.57,1.32,4.1,0.76,0.24,8.57
8.52,1.31,4.2,0.76,0.24,8.52
8.47,1.3,4.3,0.77,0.23,8.47
8.42,1.29,4.4,0.77,0.23,8.42
8.37,1.29,4.5,0.78,0.22,8.37
