,Paris SG,Marseille,Monaco,Lyon,Lille,Lens,Rennes,Nice,Brest,Toulouse,Nantes,Strasbourg,Auxerre,Le Havre,Angers,Paris FC,Metz,Lorient
Paris SG,0,413,430,248,128,112,189,426,308,365,206,252,94,104,160,4,178,269
Marseille,413,0,106,173,518,509,479,95,592,200,435,382,324,497,408,410,405,525
Monaco,430,106,0,184,516,511,533,11,655,300,497,334,336,526,463,427,376,590
Lyon,248,173,184,0,345,337,355,179,480,230,326,233,155,341,287,244,237,419
Lille,128,518,516,345,0,18,278,513,373,492,314,251,195,152,273,128,170,354
Lens,112,509,511,337,18,0,260,508,356,477,295,257,185,134,255,113,175,336
Rennes,189,479,533,355,278,260,0,525,128,347,59,437,246,128,70,192,367,80
Nice,426,95,11,179,513,508,525,0,646,288,488,336,332,521,455,422,376,581
Brest,308,592,655,480,373,356,128,646,0,437,157,560,374,223,193,313,487,67
Toulouse,365,200,300,230,492,477,347,288,437,0,291,458,308,413,284,364,443,369
Nantes,206,435,497,326,314,295,59,488,157,291,0,440,241,173,48,209,377,92
Strasbourg,252,382,334,233,251,257,437,336,560,458,440,0,200,350,391,248,82,516
Auxerre,94,324,336,155,195,185,246,332,374,308,241,200,0,195,193,90,149,323
Le Havre,104,497,526,341,152,134,128,521,223,413,173,350,195,0,144,109,271,202
Angers,160,408,463,287,273,255,70,455,193,284,48,391,193,144,0,162,328,134
Paris FC,4,410,427,244,128,113,192,422,313,364,209,248,90,109,162,0,174,273
Metz,178,405,376,237,170,175,367,376,487,443,377,82,149,271,328,174,0,447
Lorient,269,525,590,419,354,336,80,581,67,369,92,516,323,202,134,273,447,0
