,Bayern Munich,Leverkusen,Dortmund,RB Leipzig,Stuttgart,Ein Frankfurt,M'gladbach,Wolfsburg,Hoffenheim,Freiburg,Werder Bremen,Heidenheim,Mainz,Union Berlin,Augsburg,St Pauli,FC Koln,Hamburg
Bayern Munich,0,284,292,218,117,185,311,293,143,175,356,75,196,305,34,375,284,378
Leverkusen,284,0,37,233,183,98,28,189,149,213,160,215,90,298,255,214,9,214
Dortmund,292,37,0,211,201,111,52,156,168,242,123,228,109,268,267,176,46,176
RB Leipzig,218,233,211,0,224,185,258,100,211,307,190,209,204,92,218,182,239,186
Stuttgart,117,183,201,224,0,91,206,260,33,84,295,43,93,316,83,330,180,332
Ein Frankfurt,185,98,111,185,91,0,125,188,58,147,207,117,19,269,157,247,98,249
M'gladbach,311,28,52,258,206,125,0,208,173,229,167,240,115,320,281,223,27,223
Wolfsburg,293,189,156,100,260,188,208,0,236,333,93,261,202,116,284,85,198,88
Hoffenheim,143,149,168,211,33,58,173,236,0,98,264,69,59,302,111,302,147,303
Freiburg,175,213,242,307,84,147,229,333,98,0,353,115,138,398,142,395,207,396
Werder Bremen,356,160,123,190,295,207,167,93,264,353,0,309,215,202,340,57,170,56
Heidenheim,75,215,228,209,43,117,240,261,69,115,309,0,125,302,41,337,214,340
Mainz,196,90,109,204,93,19,115,202,59,138,215,125,0,288,166,257,88,259
Union Berlin,305,298,268,92,316,269,320,116,302,398,202,302,288,0,309,168,306,171
Augsburg,34,255,267,218,83,157,281,284,111,142,340,41,166,309,0,363,254,366
St Pauli,375,214,176,182,330,247,223,85,302,395,57,337,257,168,363,0,223,3
FC Koln,284,9,46,239,180,98,27,198,147,207,170,214,88,306,254,223,0,223
Hamburg,378,214,176,186,332,249,223,88,303,396,56,340,259,171,366,3,223,0
