League,Country,Team,Stadium,Latitude,Longitude,Capacity,Pitch Length,Pitch Width,Team Logo URL,,,,,,,,,
England Premier,England,Man City,Etihad Stadium,53.4836,-2.20026,53600,105,68,https://media.api-sports.io/football/teams/50.png,,,,,,,,,GPS Coordinates --> Latitude and Longitude Finder
England Premier,England,Arsenal,Emirates Stadium,51.5550403,-0.1083997,60704,105,68,https://media.api-sports.io/football/teams/42.png,,,,,,,,,www.itilog.com
England Premier,England,Liverpool,Anfield,53.433979,-2.95096,61276,101,68,https://media.api-sports.io/football/teams/40.png,,,,,,,,,"get badge from fixtures page - r-click, copy image link"
England Premier,England,Chelsea,Stamford Bridge,51.4816869,-0.1910336,40173,103,68,https://media.api-sports.io/football/teams/49.png,,,,,,,,,
England Premier,England,Tottenham,Tottenham Hotspur Stadium,51.604157,-0.0662604,62850,105,68,https://media.api-sports.io/football/teams/47.png,,,,,,,,,
England Premier,England,Newcastle,St James' Park,54.9754693,-1.6218737,52350,105,68,https://media.api-sports.io/football/teams/34.png,,,,,,,,,
England Premier,England,Man Utd,Old Trafford,53.4631095,-2.2913865,74310,105,68,https://media.api-sports.io/football/teams/33.png,,,,,,,,,
England Premier,England,Aston Villa,Villa Park,52.5091264,-1.8850354,42640,105,68,https://media.api-sports.io/football/teams/66.png,,,,,,,,,
England Premier,England,Brighton,AMEX Stadium,50.860916,-0.08428,31876,105,68,https://media.api-sports.io/football/teams/51.png,,,,,,,,,
England Premier,England,West Ham,London Stadium,51.538636,-0.016403,62500,105,68,https://media.api-sports.io/football/teams/48.png,,,,,,,,,
England Premier,England,Crystal Palace,Selhurst Park,51.3982429,-0.0852551,25486,101,68,https://media.api-sports.io/football/teams/52.png,,,,,,,,,
England Premier,England,Brentford,Gtech Community Stadium,51.493253,-0.287803,17250,105,68,https://media.api-sports.io/football/teams/55.png,,,,,,,,,
England Premier,England,Fulham,Craven Cottage,51.47452,-0.22061,29589,100,65,https://media.api-sports.io/football/teams/36.png,,,,,,,,,
England Premier,England,Bournemouth,Vitality Stadium,50.735313,-1.839234,11307,105,68,https://media.api-sports.io/football/teams/35.png,,,,,,,,,
England Premier,England,Everton,Goodison Park,53.4386898,-2.9664193,38572,100,68,https://media.api-sports.io/football/teams/45.png,,,,,,,,,
England Premier,England,Wolves,Molineux,52.590195,-2.131226,31750,105,68,https://media.api-sports.io/football/teams/39.png,,,,,,,,,
England Premier,England,Leicester,King Power Stadium,52.620622,-1.143047,32259,105,68,https://media.api-sports.io/football/teams/46.png,,,,,,,,,
England Premier,England,Nottm Forest,City Ground,52.939444,-1.133199,30404,105,68,https://media.api-sports.io/football/teams/65.png,,,,,,,,,
England Premier,England,Southampton,St Mary's Stadium,50.90653,-1.390823,32384,105,68,https://media.api-sports.io/football/teams/41.png,,,,,,,,,
England Premier,England,Ipswich,Portman Road,52.054732,1.144614,30014,102,75,https://media.api-sports.io/football/teams/57.png,,,,,,,,,
England Championship,England,Leeds,Elland Road Stadium,53.777714,-1.573104,37792,105,68,https://media.api-sports.io/football/teams/63.png,,,,,,,,,
England Championship,England,Burnley,Turf Moor,53.78847,-2.230325,21944,105,68,https://media.api-sports.io/football/teams/44.png,,,,,,,,,
England Championship,England,Luton,Kenilworth Road,51.884014,-0.43236,12056,101,66,https://media.api-sports.io/football/teams/1359.png,,,,,,,,,
England Championship,England,Middlesbrough,Riverside Stadium,54.578124,-1.217764,34742,105,69,https://media.api-sports.io/football/teams/70.png,,,,,,,,,
England Championship,England,West Brom,The Hawthorns,52.509003,-1.963299,26688,105,68,https://media.api-sports.io/football/teams/60.png,,,,,,,,,
England Championship,England,Sheff Utd,Bramall Lane,53.36986,-1.470512,32050,101,68,https://media.api-sports.io/football/teams/62.png,,,,,,,,,
England Championship,England,Coventry,Coventry Building Society Arena,52.448773,-1.496282,32753,120,68,https://media.api-sports.io/football/teams/1346.png,,,,,,,,,
England Championship,England,Norwich,Carrow Road,52.6219553,1.308309,27244,105,68,https://media.api-sports.io/football/teams/71.png,,,,,,,,,
England Championship,England,Stoke,bet365 Stadium,52.988255,-2.176078,30089,105,68,https://media.api-sports.io/football/teams/75.png,,,,,,,,,
England Championship,England,Hull,MKM Stadium,53.745731,-0.368016,25586,105,68,https://media.api-sports.io/football/teams/64.png,,,,,,,,,
England Championship,England,Sunderland,Stadium of Light,54.914063,-1.3893,49000,105,68,https://media.api-sports.io/football/teams/746.png,,,,,,,,,
England Championship,England,Sheff Weds,Hillsborough Stadium,53.410844,-1.500859,39732,106,69,https://media.api-sports.io/football/teams/74.png,,,,,,,,,
England Championship,England,Watford,Vicarage Road,51.649275,-0.400727,22220,105,68,https://media.api-sports.io/football/teams/38.png,,,,,,,,,
England Championship,England,QPR,Loftus Road,51.509692,-0.232109,18439,102,66,https://media.api-sports.io/football/teams/72.png,,,,,,,,,
England Championship,England,Derby,Pride Park,52.914633,-1.447968,33597,105,68,https://media.api-sports.io/football/teams/69.png,,,,,,,,,
England Championship,England,Portsmouth,Fratton Park,50.795923,-1.064882,20899,100,66,https://media.api-sports.io/football/teams/1355.png,,,,,,,,,
England Championship,England,Swansea,Swansea.com Stadium,51.642156,-3.935119,21088,105,68,https://media.api-sports.io/football/teams/76.png,,,,,,,,,
England Championship,England,Bristol City,Ashton Gate,51.440713,-2.620602,27000,105,69,https://media.api-sports.io/football/teams/56.png,,,,,,,,,
England Championship,England,Millwall,The Den,51.486671,-0.051053,20146,106,64,https://media.api-sports.io/football/teams/58.png,,,,,,,,,
England Championship,England,Preston,Deepdale Stadium,53.772236,-2.689327,23408,101,70,https://media.api-sports.io/football/teams/59.png,,,,,,,,,
England Championship,England,Cardiff,Cardiff City Stadium,51.47332,-3.206425,33280,105,68,https://media.api-sports.io/football/teams/43.png,,,,,,,,,
England Championship,England,Blackburn,Ewood Park,53.729141,-2.489562,31367,105,69,https://media.api-sports.io/football/teams/67.png,,,,,,,,,
England Championship,England,Plymouth,Home Park,50.387394,-4.1517,17900,107,70,https://media.api-sports.io/football/teams/1357.png,,,,,,,,,
England Championship,England,Oxford Utd,Kassam Stadium,51.717066,-1.210957,12500,102,71,https://media.api-sports.io/football/teams/1338.png,,,,,,,,,
