,AFC Wimbledon,Barnsley,Blackpool,Bradford,Bromley,Burton,Cambridge,Doncaster,Huddersfield,Leicester,Leyton Orient,Luton,Mansfield,Milton Keynes Dons,Notts County,Oxford,Peterborough,Plymouth,Reading,Sheffield Weds,Stevenage,Stockport,Wigan,Wycombe
AFC Wimbledon,0,156,203,177,9,114,56,149,167,91,11,33,125,46,111,48,78,187,34,147,31,159,179,29
Barnsley,156,0,67,21,162,50,114,14,14,65,150,123,30,111,44,127,85,246,148,9,126,30,48,135
Blackpool,203,67,0,52,211,89,173,82,53,113,200,172,89,157,99,163,144,240,186,69,178,45,24,177
Bradford,177,21,52,0,182,68,135,33,10,85,171,143,51,131,65,146,106,257,167,29,147,32,40,155
Bromley,9,162,211,182,0,121,57,154,173,98,11,39,131,53,117,57,81,194,43,153,35,166,186,38
Burton,114,50,89,68,121,0,86,52,57,24,110,82,28,67,22,78,60,200,100,41,88,45,65,89
Cambridge,56,114,173,135,57,86,0,104,128,61,45,33,85,40,74,67,29,225,73,108,26,127,149,57
Doncaster,149,14,82,33,154,52,104,0,28,61,142,116,25,104,39,124,74,251,144,17,118,44,63,130
Huddersfield,167,14,53,10,173,57,128,28,0,76,162,134,42,121,55,136,98,247,157,20,138,24,37,145
Leicester,91,65,113,85,98,24,61,61,76,0,87,59,35,45,22,62,38,201,83,56,64,68,89,69
Leyton Orient,11,150,200,171,11,110,45,142,162,87,0,28,120,43,106,52,70,197,43,142,24,156,176,34
Luton,33,123,172,143,39,82,33,116,134,59,28,0,92,15,78,35,47,191,39,114,10,127,148,23
Mansfield,125,30,89,51,131,28,85,25,42,35,120,92,0,80,13,98,56,228,118,22,96,44,66,105
Milton Keynes Dons,46,111,157,131,53,67,40,104,121,45,43,15,80,0,66,28,43,186,41,102,24,113,133,26
Notts County,111,44,99,65,117,22,74,39,55,22,106,78,13,66,0,84,45,218,105,35,82,53,75,91
Oxford,48,127,163,146,57,78,67,124,136,62,52,35,98,28,84,0,71,157,22,117,45,123,140,18
Peterborough,78,85,144,106,81,60,29,74,98,38,70,47,56,43,45,71,0,226,85,78,46,98,121,68
Plymouth,187,246,240,257,194,200,225,251,247,201,197,191,228,186,218,157,226,0,155,237,200,224,227,169
Reading,34,148,186,167,43,100,73,144,157,83,43,39,118,41,105,22,85,155,0,139,46,145,162,16
Sheffield Weds,147,9,69,29,153,41,108,17,20,56,142,114,22,102,35,117,78,237,139,0,118,27,48,126
Stevenage,31,126,178,147,35,88,26,118,138,64,24,10,96,24,82,45,46,200,46,118,0,133,154,31
Stockport,159,30,45,32,166,45,127,44,24,68,156,127,44,113,53,123,98,224,145,27,133,0,22,135
Wigan,179,48,24,40,186,65,149,63,37,89,176,148,66,133,75,140,121,227,162,48,154,22,0,153
Wycombe,29,135,177,155,38,89,57,130,145,69,34,23,105,26,91,18,68,169,16,126,31,135,153,0
