,Accrington,Barnet,Bristol Rvs,Cheltenham,Chesterfield,Colchester,Crawley Town,Crewe,Exeter,Fleetwood Town,Gillingham,Grimsby,Newport County,Northampton,Oldham,Port Vale,Rochdale,Rotherham,Salford,Shrewsbury,Swindon,Tranmere,Walsall,York
Accrington,0,173,157,129,52,186,205,46,215,28,205,96,156,121,17,50,12,47,17,76,154,38,84,55
Barnet,173,0,99,78,123,55,35,137,152,196,39,136,313,51,155,128,160,133,156,128,63,168,98,167
Bristol Rvs,157,99,0,36,131,152,106,110,66,169,136,179,256,87,144,109,148,143,140,83,35,131,78,184
Cheltenham,129,78,36,0,96,126,97,83,103,144,118,142,246,53,114,79,118,109,111,61,26,109,45,149
Chesterfield,52,123,131,96,0,134,157,43,196,80,154,61,206,73,35,34,40,12,39,67,117,67,53,52
Colchester,186,55,152,126,134,0,73,162,208,214,39,120,338,80,169,151,174,140,172,163,117,193,130,164
Crawley Town,205,35,106,97,157,73,0,167,147,228,38,170,341,84,188,159,193,168,188,154,75,198,127,202
Crewe,46,137,110,83,43,162,167,0,169,62,173,104,177,86,34,10,38,50,30,30,108,31,40,84
Exeter,215,152,66,103,196,208,147,169,0,221,183,245,285,152,204,170,207,207,199,139,95,183,142,248
Fleetwood Town,28,196,169,144,80,214,228,62,221,0,231,124,127,145,44,69,40,76,41,85,170,37,102,80
Gillingham,205,39,136,118,154,39,38,173,183,231,0,153,350,86,188,164,193,162,189,167,101,204,136,192
Grimsby,96,136,179,142,61,120,170,104,245,124,153,0,250,99,85,95,87,55,92,127,156,123,106,50
Newport County,156,313,256,246,206,338,341,177,285,127,350,250,0,263,171,187,167,203,167,186,272,145,215,202
Northampton,121,51,87,53,73,80,84,86,152,145,86,99,263,0,104,77,109,84,104,82,58,118,50,121
Oldham,17,155,144,114,35,169,188,34,204,44,188,85,171,104,0,35,5,32,6,65,138,39,68,53
Port Vale,50,128,109,79,34,151,159,10,170,69,164,95,187,77,35,0,39,43,32,34,104,41,34,79
Rochdale,12,160,148,118,40,174,193,38,207,40,193,87,167,109,5,39,0,36,8,68,143,39,73,52
Rotherham,47,133,143,109,12,140,168,50,207,76,162,55,203,84,32,43,36,0,38,77,129,69,65,40
Salford,17,156,140,111,39,172,188,30,199,41,189,92,167,104,6,32,8,38,0,60,136,32,66,59
Shrewsbury,76,128,83,61,67,163,154,30,139,85,167,127,186,82,65,34,68,77,60,0,88,48,33,113
Swindon,154,63,35,26,117,117,75,108,95,170,101,156,272,58,138,104,143,129,136,88,0,135,69,170
Tranmere,38,168,131,109,67,193,198,31,183,37,204,123,145,118,39,41,39,69,32,48,135,0,70,91
Walsall,84,98,78,45,53,130,127,40,142,102,136,106,215,50,68,34,73,65,66,33,69,70,0,105
York,55,167,184,149,52,164,202,84,248,80,192,50,202,121,53,79,52,40,59,113,170,91,105,0
