,Angers,Auxerre,Brest,Le Havre,Le Mans,Lens,Lille,Lorient,Lyon,Marseille,Monaco,Nice,Paris FC,Paris SG,Rennes,Strasbourg,Toulouse,Troyes
Angers,0,193,193,144,49,255,273,134,287,408,463,455,162,160,70,391,284,222
Auxerre,193,0,374,195,156,185,195,323,155,324,336,332,90,94,246,200,308,42
Brest,193,374,0,223,218,356,373,67,480,592,655,646,313,308,128,560,437,394
Le Havre,144,195,223,0,106,134,152,202,341,497,526,521,109,104,128,350,413,196
Le Mans,49,156,218,106,0,207,225,167,271,409,453,446,114,111,90,349,307,180
Lens,255,185,356,134,207,0,18,336,337,509,511,508,113,112,260,257,477,157
Lille,273,195,373,152,225,18,0,354,345,518,516,513,128,128,278,251,492,165
Lorient,134,323,67,202,167,336,354,0,419,525,590,581,273,269,80,516,369,348
Lyon,287,155,480,341,271,337,345,419,0,173,184,179,244,248,355,233,230,180
Marseille,408,324,592,497,409,509,518,525,173,0,106,95,410,413,479,382,200,353
Monaco,463,336,655,526,453,511,516,590,184,106,0,11,427,430,533,334,300,354
Nice,455,332,646,521,446,508,513,581,179,95,11,0,422,426,525,336,288,350
Paris FC,162,90,313,109,114,113,128,273,244,410,427,422,0,4,192,248,364,87
Paris SG,160,94,308,104,111,112,128,269,248,413,430,426,4,0,189,252,365,92
Rennes,70,246,128,128,90,260,278,80,355,479,533,525,192,189,0,437,347,268
Strasbourg,391,200,560,350,349,257,251,516,233,382,334,336,248,252,437,0,458,169
Toulouse,284,308,437,413,307,477,492,369,230,200,300,288,364,365,347,458,0,350
Troyes,222,42,394,196,180,157,165,348,180,353,354,350,87,92,268,169,350,0
