,AC Milan,Atalanta,Bologna,Cagliari,Como,Fiorentina,Frosinone,Genoa,Inter,Juventus,Lazio,Lecce,Monza,Napoli,Parma,Roma,Sassuolo,Torino,Udinese,Venezia
AC Milan,0,21,126,433,23,158,338,73,0,76,296,179,11,410,75,296,91,77,201,157
Atalanta,21,0,147,447,16,179,359,87,21,68,316,200,25,431,97,316,112,70,214,174
Bologna,126,147,0,382,142,49,221,116,126,185,185,53,123,292,52,185,36,184,143,82
Cagliari,433,447,382,0,456,335,277,360,433,415,256,377,440,290,391,256,388,410,517,460
Como,23,16,142,456,0,177,358,96,23,84,316,194,19,430,93,316,108,87,199,161
Fiorentina,158,179,49,335,177,0,180,123,158,202,140,54,157,252,84,140,71,199,184,125
Frosinone,338,359,221,277,358,180,0,292,338,373,49,181,338,71,265,49,251,370,307,266
Genoa,73,87,116,360,96,123,292,0,73,80,246,165,82,364,73,246,86,77,236,181
Inter,0,21,126,433,23,158,338,73,0,76,296,179,11,410,75,296,91,77,201,157
Juventus,76,68,185,415,84,202,373,80,76,0,326,237,87,444,133,326,150,4,277,231
Lazio,296,316,185,256,316,140,49,246,296,326,0,152,297,118,224,0,212,322,288,241
Lecce,179,200,53,377,194,54,181,165,179,237,152,0,176,248,105,152,89,236,141,88
Monza,11,25,123,440,19,157,338,82,11,87,297,176,0,410,74,297,88,89,190,148
Napoli,410,431,292,290,430,252,71,364,410,444,118,248,410,0,336,118,323,441,366,330
Parma,75,97,52,391,93,84,265,73,75,133,224,105,74,336,0,224,16,132,165,108
Roma,296,316,185,256,316,140,49,246,296,326,0,152,297,118,224,0,212,322,288,241
Sassuolo,91,112,36,388,108,71,251,86,91,150,212,89,88,323,16,212,0,148,155,97
Torino,77,70,184,410,87,199,370,77,77,4,322,236,89,441,132,322,148,0,278,231
Udinese,201,214,143,517,199,184,307,236,201,277,288,141,190,366,165,288,155,278,0,60
Venezia,157,174,82,460,161,125,266,181,157,231,241,88,148,330,108,241,97,231,60,0
