,Amazulu,Chippa United,Durban City,Golden Arrows,Kaizer Chiefs,Kruger United,Mamelodi Sundowns,Marumo Gallants,Milford FC,Orlando Pirates,Polokwane City,Richards Bay,Sekhukhune United,Siwelele,Stellenbosch,TS Galaxy
Amazulu,0,286,10,8,309,300,329,292,97,312,417,97,417,292,768,300
Chippa United,286,0,276,283,466,555,499,282,383,466,632,383,632,282,525,550
Durban City,10,276,0,8,308,306,329,284,107,310,421,107,421,284,757,306
Golden Arrows,8,283,8,0,303,298,322,284,100,305,413,100,413,284,762,298
Kaizer Chiefs,309,466,308,303,0,206,36,229,303,3,184,303,184,229,760,191
Kruger United,300,555,306,298,206,0,185,397,232,209,151,232,151,397,941,15
Mamelodi Sundowns,329,499,329,322,36,185,0,265,313,37,148,313,148,265,794,170
Marumo Gallants,292,282,284,284,229,397,265,0,353,227,413,353,413,0,544,385
Milford FC,97,383,107,100,303,232,313,353,0,307,368,0,368,353,856,236
Orlando Pirates,312,466,310,305,3,209,37,227,307,0,185,307,185,227,758,194
Polokwane City,417,632,421,413,184,151,148,413,368,185,0,368,0,413,940,140
Richards Bay,97,383,107,100,303,232,313,353,0,307,368,0,368,353,856,236
Sekhukhune United,417,632,421,413,184,151,148,413,368,185,0,368,0,413,940,140
Siwelele,292,282,284,284,229,397,265,0,353,227,413,353,413,0,544,385
Stellenbosch,768,525,757,762,760,941,794,544,856,758,940,856,940,544,0,929
TS Galaxy,300,550,306,298,191,15,170,385,236,194,140,236,140,385,929,0
