dnb price,dnb %,Sup
50,0.02,-2.6
33.33,0.03,-2.5
25,0.04,-2.4
20,0.05,-2.3
16.67,0.06,-2.2
14.29,0.07,-2.1
12.5,0.08,-2
11.11,0.09,-1.95
10,0.1,-1.9
9.09,0.11,-1.85
8.33,0.12,-1.8
7.69,0.13,-1.7
7.14,0.14,-1.6
6.67,0.15,-1.5
6.25,0.16,-1.4
5.88,0.17,-1.3
5.56,0.18,-1.25
5.26,0.19,-1.2
5,0.2,-1.15
4.76,0.21,-1.1
4.55,0.22,-1.05
4.35,0.23,-1
4.17,0.24,-0.9
4,0.25,-0.9
3.85,0.26,-0.85
3.7,0.27,-0.8
3.57,0.28,-0.75
3.45,0.29,-0.7
3.33,0.3,-0.65
3.13,0.31,-0.6
3.13,0.32,-0.6
3.03,0.33,-0.55
2.94,0.34,-0.5
2.78,0.35,-0.5
2.78,0.36,-0.45
2.63,0.37,-0.43
2.63,0.38,-0.4
2.56,0.39,-0.35
2.5,0.4,-0.3
2.44,0.41,-0.25
2.38,0.42,-0.23
2.33,0.43,-0.2
2.27,0.44,-0.15
2.22,0.45,-0.14
2.17,0.46,-0.12
2.13,0.47,-0.11
2.08,0.48,-0.1
2.04,0.49,-0.05
2,0.5,0
1.96,0.51,0.05
1.92,0.52,0.1
1.89,0.53,0.11
1.85,0.54,0.12
1.82,0.55,0.14
1.79,0.56,0.15
1.75,0.57,0.2
1.72,0.58,0.25
1.69,0.59,0.3
1.67,0.6,0.3
1.64,0.61,0.35
1.61,0.62,0.4
1.59,0.63,0.45
1.56,0.64,0.45
1.54,0.65,0.5
1.52,0.66,0.5
1.49,0.67,0.55
1.47,0.68,0.6
1.45,0.69,0.65
1.43,0.7,0.65
1.41,0.71,0.7
1.39,0.72,0.75
1.37,0.73,0.8
1.35,0.74,0.85
1.33,0.75,0.9
1.32,0.76,0.95
1.3,0.77,1
1.28,0.78,1.05
1.27,0.79,1.1
1.25,0.8,1.15
1.23,0.81,1.2
1.22,0.82,1.25
1.2,0.83,1.3
1.19,0.84,1.4
1.18,0.85,1.5
1.16,0.86,1.6
1.15,0.87,1.7
1.14,0.88,1.8
1.12,0.89,1.85
1.11,0.9,1.9
1.1,0.91,1.95
1.09,0.92,2
1.08,0.93,2.1
1.06,0.94,2.2
1.05,0.95,2.3
1.04,0.96,2.4
1.03,0.97,2.5
1.02,0.98,2.6
