D_Mtp,D_Mtp_Adj
0,0
0.01,0.01
0.02,0.02
0.03,0.03
0.04,0.04
0.05,0.05
0.06,0.06
0.07,0.07
0.08,0.08
0.09,0.09
0.1,0.1
0.11,0.11
0.12,0.12
0.13,0.13
0.14,0.14
0.15,0.15
0.16,0.16
0.17,0.17
0.18,0.18
0.19,0.19
0.2,0.2
0.21,0.21
0.22,0.22
0.23,0.23
0.24,0.24
0.25,0.25
0.26,0.26
0.27,0.27
0.28,0.28
0.29,0.29
0.3,0.3
0.31,0.31
0.32,0.32
0.33,0.33
0.34,0.34
0.35,0.35
0.36,0.36
0.37,0.37
0.38,0.38
0.39,0.39
0.4,0.4
0.41,0.41
0.42,0.42
0.43,0.43
0.44,0.44
0.45,0.45
0.46,0.46
0.47,0.47
0.48,0.48
0.49,0.49
0.5,0.5
0.51,0.51
0.52,0.52
0.53,0.53
0.54,0.54
0.55,0.55
0.56,0.56
0.57,0.57
0.58,0.58
0.59,0.59
0.6,0.6
0.61,0.61
0.62,0.62
0.63,0.63
0.64,0.64
0.65,0.65
0.66,0.66
0.67,0.67
0.68,0.68
0.69,0.69
0.7,0.7
0.71,0.71
0.72,0.72
0.73,0.73
0.74,0.74
0.75,0.75
0.76,0.76
0.77,0.77
0.78,0.78
0.79,0.79
0.8,0.8
0.81,0.81
0.82,0.82
0.83,0.83
0.84,0.84
0.85,0.85
0.86,0.86
0.87,0.87
0.88,0.88
0.89,0.89
0.9,0.9
0.91,0.91
0.92,0.92
0.93,0.93
0.94,0.94
0.95,0.95
0.96,0.96
0.97,0.97
0.98,0.98
0.99,0.99
1,1
1.01,1.005
1.02,1.01
1.03,1.015
1.04,1.02
1.05,1.025
1.06,1.03
1.07,1.035
1.08,1.04
1.09,1.045
1.1,1.05
1.11,1.055
1.12,1.06
1.13,1.065
1.14,1.07
1.15,1.075
1.16,1.08
1.17,1.085
1.18,1.09
1.19,1.095
1.2,1.1
1.21,1.105
1.22,1.11
1.23,1.115
1.24,1.12
1.25,1.125
1.26,1.13
1.27,1.135
1.28,1.14
1.29,1.145
1.3,1.15
1.31,1.155
1.32,1.16
1.33,1.165
1.34,1.17
1.35,1.175
1.36,1.18
1.37,1.185
1.38,1.19
1.39,1.195
1.4,1.2
1.41,1.205
1.42,1.21
1.43,1.215
1.44,1.22
1.45,1.225
1.46,1.23
1.47,1.235
1.48,1.24
1.49,1.245
1.5,1.25
1.51,1.255
1.52,1.26
1.53,1.265
1.54,1.27
1.55,1.275
1.56,1.28
1.57,1.285
1.58,1.29
1.59,1.295
1.6,1.3
1.61,1.305
1.62,1.31
1.63,1.315
1.64,1.32
1.65,1.325
1.66,1.33
1.67,1.335
1.68,1.34
1.69,1.345
1.7,1.35
1.71,1.355
1.72,1.36
1.73,1.365
1.74,1.37
1.75,1.375
1.76,1.38
1.77,1.385
1.78,1.39
1.79,1.395
1.8,1.4
1.81,1.405
1.82,1.41
1.83,1.415
1.84,1.42
1.85,1.425
1.86,1.43
1.87,1.435
1.88,1.44
1.89,1.445
1.9,1.45
1.91,1.455
1.92,1.46
1.93,1.465
1.94,1.47
1.95,1.475
1.96,1.48
1.97,1.485
1.98,1.49
1.99,1.495
2,1.5
2.01,1.505
2.02,1.51
2.03,1.515
2.04,1.52
2.05,1.525
2.06,1.53
2.07,1.535
2.08,1.54
2.09,1.545
2.1,1.55
2.11,1.555
2.12,1.56
2.13,1.565
2.14,1.57
2.15,1.575
2.16,1.58
2.17,1.585
2.18,1.59
2.19,1.595
2.2,1.6
2.21,1.605
2.22,1.61
2.23,1.615
2.24,1.62
2.25,1.625
2.26,1.63
2.27,1.635
2.28,1.64
2.29,1.645
2.3,1.65
2.31,1.655
2.32,1.66
2.33,1.665
2.34,1.67
2.35,1.675
2.36,1.68
2.37,1.685
2.38,1.69
