league_name,season,game_week,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_corners_over_105,odds_corners_under_105,date
eng1,2024/2025,8,AFC Bournemouth,Arsenal,6.01,1.89,2.42,1.62,2.25,2.04,1.68,2024-10-19
eng1,2024/2025,8,Fulham,Aston Villa,2.44,3.52,2.92,1.8,2.0,2.08,1.65,2024-10-19
eng1,2024/2025,8,Ipswich Town,Everton,2.42,3.43,3.01,1.83,1.95,1.82,1.86,2024-10-19
eng1,2024/2025,8,Liverpool,Chelsea,1.35,4.04,7.99,1.36,3.1,0.0,0.0,2024-10-20
eng1,2024/2025,8,Manchester United,Brentford,3.07,1.8,4.39,1.57,2.35,1.73,1.96,2024-10-19
eng1,2024/2025,8,Newcastle United,Brighton & Hove Albion,1.95,3.75,3.5,1.53,2.5,1.81,1.88,2024-10-19
eng1,2024/2025,8,Nottingham Forest,Crystal Palace,2.4,3.28,3.17,2.15,1.67,0.0,0.0,2024-10-21
eng1,2024/2025,8,Southampton,Leicester City,2.43,3.53,2.92,1.75,2.05,1.92,1.77,2024-10-19
eng1,2024/2025,8,Tottenham Hotspur,West Ham United,1.54,4.77,5.41,1.45,2.7,1.71,2.0,2024-10-19
eng1,2024/2025,8,Wolverhampton Wanderers,Manchester City,2.67,3.37,2.29,1.44,2.75,0.0,0.0,2024-10-20
spain1,2024/2025,10,Atletico Madrid,Leganes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-20
spain1,2024/2025,10,FC Barcelona,Sevilla FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-20
spain1,2024/2025,10,Celta de Vigo,Real Madrid,4.5,4.5,1.62,1.62,2.3,2.3,1.54,2024-10-19
spain1,2024/2025,10,Girona FC,Real Sociedad,2.4,3.4,2.88,2.2,1.67,2.88,1.3,2024-10-19
spain1,2024/2025,10,RCD Mallorca,Rayo Vallecano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-20
spain1,2024/2025,10,Deportivo Alaves,Real Valladolid,1.7,4.0,4.5,2.2,1.67,2.55,1.44,2024-10-18
spain1,2024/2025,10,CA Osasuna,Real Betis,2.63,3.4,2.55,2.1,1.73,2.45,1.48,2024-10-19
spain1,2024/2025,10,Villarreal,Getafe CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-20
spain1,2024/2025,10,Valencia CF,UD Las Palmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-21
spain1,2024/2025,10,Athletic Club Bilbao,RCD Espanyol,1.5,4.0,7.0,1.91,1.91,2.3,1.54,2024-10-19
italy1,2024/2025,8,Cagliari,Torino,2.75,3.2,2.6,2.13,1.74,0.0,0.0,2024-10-20
italy1,2024/2025,8,Como,Parma,2.0,3.5,3.5,1.72,2.12,0.0,0.0,2024-10-19
