league_name,season,game_week,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,date
eng1,2024/2025,6,AFC Bournemouth,Southampton,1.57,4.33,5.0,1.53,2.45,2024-09-30
eng1,2024/2025,7,Arsenal,Southampton,1.17,7.0,15.0,1.4,2.9,2024-10-05
eng1,2024/2025,7,Aston Villa,Manchester United,2.1,3.8,3.1,1.6,2.3,2024-10-06
eng1,2024/2025,7,Brentford,Wolverhampton Wanderers,2.1,3.6,3.3,1.8,2.0,2024-10-05
eng1,2024/2025,7,Brighton & Hove Albion,Tottenham Hotspur,2.55,3.75,2.45,1.44,2.75,2024-10-06
eng1,2024/2025,7,Chelsea,Nottingham Forest,1.5,4.33,6.25,1.55,2.4,2024-10-06
eng1,2024/2025,7,Crystal Palace,Liverpool,4.33,4.0,1.73,1.53,2.45,2024-10-05
eng1,2024/2025,7,Everton,Newcastle United,4.0,3.7,1.85,1.6,2.3,2024-10-05
eng1,2024/2025,7,Leicester City,AFC Bournemouth,2.75,3.6,2.35,1.62,2.25,2024-10-05
eng1,2024/2025,7,Manchester City,Fulham,1.2,6.5,13.0,1.44,2.6,2024-10-05
eng1,2024/2025,7,West Ham United,Ipswich Town,1.62,4.2,4.75,1.67,2.15,2024-10-05
spain1,2024/2025,8,Villarreal,UD Las Palmas,1.53,4.1,6.0,1.57,2.38,2024-09-30
spain1,2024/2025,9,Getafe CF,CA Osasuna,0.0,0.0,0.0,0.0,0.0,2024-10-05
spain1,2024/2025,9,Real Madrid,Villarreal,0.0,0.0,0.0,0.0,0.0,2024-10-05
spain1,2024/2025,9,Deportivo Alavés,FC Barcelona,0.0,0.0,0.0,0.0,0.0,2024-10-06
spain1,2024/2025,9,Leganés,Valencia CF,0.0,0.0,0.0,0.0,0.0,2024-10-04
spain1,2024/2025,9,Girona FC,Athletic Club Bilbao,0.0,0.0,0.0,0.0,0.0,2024-10-06
spain1,2024/2025,9,Real Sociedad,Atlético Madrid,0.0,0.0,0.0,0.0,0.0,2024-10-06
spain1,2024/2025,9,Sevilla FC,Real Betis,0.0,0.0,0.0,0.0,0.0,2024-10-06
spain1,2024/2025,9,UD Las Palmas,Celta de Vigo,0.0,0.0,0.0,0.0,0.0,2024-10-05
spain1,2024/2025,9,Real Valladolid,Rayo Vallecano,0.0,0.0,0.0,0.0,0.0,2024-10-05
spain1,2024/2025,9,RCD Espanyol,RCD Mallorca,0.0,0.0,0.0,0.0,0.0,2024-10-05
italy1,2024/2025,6,Parma,Cagliari,2.1,3.45,3.25,1.75,2.05,2024-09-30
italy1,2024/2025,7,Atalanta,Genoa,1.5,4.33,6.0,1.74,2.08,2024-10-05
italy1,2024/2025,7,Bologna,Parma,1.75,3.75,4.5,1.87,2.03,2024-10-06
italy1,2024/2025,7,Fiorentina,AC Milan,2.7,3.5,2.45,1.75,2.05,2024-10-06
italy1,2024/2025,7,Hellas Verona,Venezia,2.05,3.4,3.6,2.07,1.83,2024-10-04
italy1,2024/2025,7,Inter Milan,Torino,1.33,5.0,8.5,1.8,2.02,2024-10-05
italy1,2024/2025,7,Juventus,Cagliari,1.4,4.5,7.5,1.98,1.92,2024-10-06
italy1,2024/2025,7,Lazio,Empoli,1.5,4.1,6.5,2.02,1.88,2024-10-06
italy1,2024/2025,7,Monza,Roma,3.75,3.3,2.0,2.05,1.75,2024-10-06
italy1,2024/2025,7,Napoli,Como,1.45,4.5,6.5,1.7,2.1,2024-10-04
italy1,2024/2025,7,Udinese,Lecce,2.0,3.3,3.8,2.28,1.63,2024-10-05
fra1,2024/2025,7,Olympique Lyonnais,Nantes,1.8,3.6,4.33,1.87,2.03,2024-10-06
fra1,2024/2025,7,Nice,PSG,4.0,3.8,1.8,1.68,2.18,2024-10-06
fra1,2024/2025,7,Lille,Toulouse,1.73,4.0,4.2,1.91,1.99,2024-10-05
fra1,2024/2025,7,Saint-Étienne,Auxerre,2.5,3.4,2.7,1.86,2.04,2024-10-05
fra1,2024/2025,7,Brest,Le Havre,1.73,3.8,4.5,2.04,1.86,2024-10-06
fra1,2024/2025,7,Olympique Marseille,Angers SCO,1.25,6.0,10.0,1.56,2.43,2024-10-04
fra1,2024/2025,7,Rennes,Monaco,2.6,3.6,2.5,1.58,2.38,2024-10-05
fra1,2024/2025,7,Strasbourg,Lens,3.4,3.4,2.1,1.79,2.02,2024-10-06
fra1,2024/2025,7,Reims,Montpellier,1.91,3.6,3.8,1.7,2.15,2024-10-06
ger1,2024/2025,6,Bayer Leverkusen,Holstein Kiel,1.09,10.0,21.0,1.22,4.2,2024-10-05
ger1,2024/2025,6,Stuttgart,Hoffenheim,1.33,5.75,7.0,1.28,3.55,2024-10-06
ger1,2024/2025,6,Eintracht Frankfurt,Bayern München,5.0,4.75,1.53,1.36,3.1,2024-10-06
ger1,2024/2025,6,Heidenheim,RB Leipzig,4.2,4.33,1.67,1.5,2.55,2024-10-06
ger1,2024/2025,6,Werder Bremen,Freiburg,2.55,3.6,2.55,1.66,2.23,2024-10-05
ger1,2024/2025,6,Augsburg,Borussia M'gladbach,2.4,3.6,2.7,1.5,2.55,2024-10-04
ger1,2024/2025,6,Union Berlin,Borussia Dortmund,3.0,3.5,2.25,1.79,2.02,2024-10-05
ger1,2024/2025,6,Bochum,Wolfsburg,3.0,3.6,2.2,1.63,2.28,2024-10-05
ger1,2024/2025,6,St. Pauli,Mainz 05,2.75,3.3,2.5,1.91,1.99,2024-10-05
