league_name,season,date,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,HG_Exp,AG_Exp
eng1,2024/2025,2024-10-19,AFC Bournemouth,Arsenal,6.01,1.89,2.42,1.165,1.8649999999999998
eng1,2024/2025,2024-10-19,Fulham,Aston Villa,2.44,3.52,2.92,1.455,1.335
eng1,2024/2025,2024-10-19,Ipswich Town,Everton,2.42,3.43,3.01,1.45,1.3099999999999998
eng1,2024/2025,2024-10-20,Liverpool,Chelsea,1.35,4.04,7.99,2.615,1.015
eng1,2024/2025,2024-10-19,Manchester United,Brentford,3.07,1.8,4.39,1.7,1.4000000000000001
eng1,2024/2025,2024-10-19,Newcastle United,Brighton & Hove Albion,1.95,3.75,3.5,1.8050000000000002,1.355
eng1,2024/2025,2024-10-21,Nottingham Forest,Crystal Palace,2.4,3.28,3.17,1.32,1.1199999999999999
eng1,2024/2025,2024-10-19,Southampton,Leicester City,2.43,3.53,2.92,1.49,1.3499999999999999
eng1,2024/2025,2024-10-19,Tottenham Hotspur,West Ham United,1.54,4.77,5.41,2.175,1.125
eng1,2024/2025,2024-10-20,Wolverhampton Wanderers,Manchester City,2.67,3.37,2.29,1.63,1.75
spain1,2024/2025,2024-10-20,Atletico Madrid,Leganes,0.0,0.0,0.0,,
spain1,2024/2025,2024-10-20,FC Barcelona,Sevilla FC,0.0,0.0,0.0,,
spain1,2024/2025,2024-10-19,Celta de Vigo,Real Madrid,4.5,4.5,1.62,1.105,1.955
spain1,2024/2025,2024-10-19,Girona FC,Real Sociedad,2.4,3.4,2.88,1.27,1.13
spain1,2024/2025,2024-10-20,RCD Mallorca,Rayo Vallecano,0.0,0.0,0.0,,
spain1,2024/2025,2024-10-18,Deportivo Alaves,Real Valladolid,1.7,4.0,4.5,1.6,0.7999999999999999
spain1,2024/2025,2024-10-19,CA Osasuna,Real Betis,2.63,3.4,2.55,1.2100000000000002,1.26
spain1,2024/2025,2024-10-20,Villarreal,Getafe CF,0.0,0.0,0.0,,
spain1,2024/2025,2024-10-21,Valencia CF,UD Las Palmas,0.0,0.0,0.0,,
spain1,2024/2025,2024-10-19,Athletic Club Bilbao,RCD Espanyol,1.5,4.0,7.0,1.955,0.7050000000000001
italy1,2024/2025,2024-10-20,Cagliari,Torino,2.75,3.2,2.6,1.2100000000000002,1.26
italy1,2024/2025,2024-10-19,Como,Parma,2.0,3.5,3.5,1.6700000000000002,1.22
italy1,2024/2025,2024-10-20,Empoli,Napoli,6.5,3.9,1.55,0.68,1.88
italy1,2024/2025,2024-10-19,Genoa,Bologna,3.0,3.1,2.45,1.115,1.2550000000000001
italy1,2024/2025,2024-10-21,Hellas Verona,Monza,2.28,3.4,3.15,1.345,1.095
italy1,2024/2025,2024-10-19,Juventus,Lazio,1.75,3.7,4.75,1.62,0.82
italy1,2024/2025,2024-10-20,Lecce,Fiorentina,3.0,3.25,2.38,1.2550000000000001,1.405
italy1,2024/2025,2024-10-19,AC Milan,Udinese,1.36,4.6,8.0,2.2800000000000002,0.78
italy1,2024/2025,2024-10-20,Roma,Inter Milan,4.1,3.9,1.81,1.1199999999999999,1.72
italy1,2024/2025,2024-10-20,Venezia,Atalanta,6.0,4.0,1.55,0.895,1.995
fra1,2024/2025,2024-10-20,Auxerre,Reims,2.5,3.3,2.7,1.47,1.3699999999999999
fra1,2024/2025,2024-10-20,Toulouse,Angers SCO,1.57,3.8,6.0,1.83,0.73
fra1,2024/2025,2024-10-20,Le Havre,Olympique Lyonnais,3.6,3.4,2.0,1.17,1.62
fra1,2024/2025,2024-10-20,Nantes,Nice,2.88,3.0,2.55,1.145,1.255
fra1,2024/2025,2024-10-20,Montpellier,Olympique Marseille,4.33,3.8,1.73,1.23,1.9300000000000002
fra1,2024/2025,2024-10-18,Monaco,Lille,1.93,3.75,3.75,1.78,1.28
fra1,2024/2025,2024-10-19,Saint-Etienne,Lens,5.8,3.9,1.57,0.845,1.945
fra1,2024/2025,2024-10-19,Brest,Rennes,2.7,3.25,2.55,1.2550000000000001,1.305
fra1,2024/2025,2024-10-19,PSG,Strasbourg,1.3,5.0,8.5,2.665,0.965
ger1,2024/2025,2024-10-19,Bayer Leverkusen,Eintracht Frankfurt,1.4,5.4,6.5,2.315,1.065
ger1,2024/2025,2024-10-19,Bayern Munchen,Stuttgart,1.35,5.75,7.5,2.62,1.12
ger1,2024/2025,2024-10-18,Borussia Dortmund,St. Pauli,1.28,6.0,9.5,2.55,0.7499999999999999
ger1,2024/2025,2024-10-19,Hoffenheim,Bochum,1.7,4.0,4.5,1.9300000000000002,1.13
ger1,2024/2025,2024-10-19,Freiburg,Augsburg,1.77,4.0,4.1,1.8399999999999999,1.19
ger1,2024/2025,2024-10-20,Wolfsburg,Werder Bremen,2.05,3.4,3.5,1.645,1.1949999999999998
ger1,2024/2025,2024-10-19,Mainz 05,RB Leipzig,4.2,3.75,1.8,1.205,1.855
ger1,2024/2025,2024-10-19,Borussia M'gladbach,Heidenheim,1.75,4.2,4.1,1.895,1.245
ger1,2024/2025,2024-10-20,Holstein Kiel,Union Berlin,4.0,3.4,1.91,1.0799999999999998,1.68
sa1,2024/2025,2024-10-22,Orlando Pirates,SuperSport United,1.57,3.4,5.86,1.6600000000000001,0.56
