league,relegated_in,promoted_in
England Premier League,,"Leicester, Southampton, Ipswich"
Germany Bundesliga,,"St Pauli, Holstein Kiel"
Spain La Liga,,"Leganes, Valladolid, Espanyol"
France Ligue 1,,"Auxerre, Angers, St Etienne"
Italy Serie A,,"Parma, Como, Venezia"
Netherlands Eredivisie,,"Willem II, Groningen, NAC Breda"
Potugal Liga I,,"Santa Clara, Nacional, AVS"
Belgium Jupiler Liga,,"Beerschot VA, Dender"
Scotland Premier,,Dundee Utd
Germany 2.Bundesliga,"FC Koln, Darmstadt","Ulm, Preussen Munster, Regensburg"
Italy Serie B,"Frosinone, Sassuolo, Salernitana",
England Championship,"Burnley, Sheffield Utd, Luton","Portsmouth, Derby, Oxford"
England League One,"Birmingham, Huddersfield, Rotherham","Stockport, Wrexham, Mansfield, Crawley Town"
England League Two,"Cheltenham, Fleetwood Town, Port Vale, Carlisle","Chesterfield, Bromley"
